"id","case_name","court","filing_year","source_url","quote","source_date","ecourts_verification","status_caveat"
"24","Hans Raj Sharma v State of J&K","Supreme Court of India (3-judge bench)","1982","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Listed among the 24 oldest pending cases.","2024-03-30","lookup needed","Filing year approximate."
"25","Data Prashad And 3 Others v State of U.P.","Allahabad High Court, Lucknow Bench","1989","https://lawbeat.in/news-updates/after-32-years-allahabad-high-court-fixes-date-final-hearing-appeal","The complainant, Gangaram is aggrieved by the fact that the present appeal which has been filed on behalf of appellants has not been listed for the last 32 years and the appellants are enjoying the liberty of bail granted to them and indulging in anti-social activities.","2022-03-30","lookup needed; appellants Data Prashad, Annu alias Anil Kumar, Ashok Kumar, Nandni Devi","Bench: Justices Ramesh Sinha and Brij Raj Singh."
"26","Rais Ahmad v State of U.P. and 40 Others (1987 Maliana massacre acquittal appeal)","Allahabad High Court, Lucknow Bench","2023","https://lawbeat.in/news-updates/maliana-victim-files-appeal-allahabad-hc-against-acquittal-41-accused-record-lower-court-summoned","The Allahabad High Court on Monday admitted a fresh petition challenging the lower court order of acquittal of the 41 accused in the Maliana massacre case in which 68 Muslims were killed in 1987. Over a month ago, the lower court had acquitted the accused persons for lack of evidence.","2023-05-10","Allahabad HC Crl Appeal 2023 - lookup needed","Underlying 1987 Meerut sessions trial took 36 years and ~900 hearings before March 2023 acquittal."
"27","Sajjan Kumar v State (CBI) - 1984 anti-Sikh riots Raj Nagar conviction appeal","Supreme Court of India","2018","https://www.tribuneindia.com/news/delhi/1984-anti-sikh-riots-case-sc-agrees-to-take-up-sajjan-kumars-appeal-against-conviction-in-july/","The gentleman has been inside for seven years and four months. The appellant has already undergone more than seven years of incarceration following his conviction by the High Court.","2025-10-25","SC Crl Appeal against Delhi HC 17.12.2018 verdict - lookup needed","Bench: Justices J.K. Maheshwari and Atul S. Chandurkar."
"28","Balwan Khokhar v State - 1984 anti-Sikh riots Raj Nagar conviction appeal","Supreme Court of India","2018","https://www.tribuneindia.com/news/delhi/1984-anti-sikh-riots-delhi-high-court-grants-time-to-govt-to-reply-to-convicts-plea-for-furlough/","Khokhar's appeal against the high court's verdict is currently pending before the Supreme Court.","2025-11-27","SC Crl Appeal - lookup needed","Co-accused with Sajjan Kumar; convicted 2013 by trial court, upheld by Delhi HC December 2018."
"29","State (CBI) v Jagdish Tytler - 1984 anti-Sikh riots Pul Bangash trial","Special CBI Court, Delhi (charges framed); revision pending in Delhi High Court","2023","https://www.tribuneindia.com/news/delhi/1984-riots-delhi-court-orders-framing-of-charges-of-murder-against-jagdish-tytler/","Holding that there was sufficient evidence against him to put him on trial, a Delhi court on Friday ordered framing of charges, including that of murder, against Congress leader Jagdish Tytler in a case related to murder of three people in north Delhi's Pul Bangash area during the 1984 anti-Sikh riots.","2024-08-31","lookup needed","Underlying offence 1 Nov 1984; CBI closure reports rejected 2007, 2009, 2014; chargesheet filed 20 May 2023; charges framed 13 Sept 2024. ~40 years incident-to-trial."
"30","State of Maharashtra v Sami Ullah & 15 Others - 1987 Hashimpura massacre PAC appeal","Supreme Court of India","2018","https://www.business-standard.com/india-news/sc-grants-bail-to-eight-convicts-in-1987-hashimpura-massacre-case-124120600545_1.html","the appellants had been in jail for over six years since the high court verdict. The trial court, in 2015, acquitted 16 PAC personnel. The Delhi High Court, in 2018, reversed the trial court's decision and convicted the 16 accused. Their appeals are currently pending before the apex court.","2024-12-06","SC Crl Appeal - lookup needed","Bench: Justices Abhay S. Oka and Augustine George Masih. Underlying offence 22 May 1987; trial 1996-2015 (28 years); HC reversal 2018; SC appeal pending 6+ years. Total elapsed: 38+ years."
"31","Sharjeel Imam v State (NCT of Delhi) - Delhi Riots 2020 'larger conspiracy'","Delhi High Court (bail appeal); Supreme Court (bail denied 5 Jan 2026); Karkardooma trial court","2020","https://www.devdiscourse.com/article/headlines/3073983-sharjeel-imam-seeks-expedited-hearing-for-bail-pending-28-months","Imam, taken into custody on January 28, 2020, faces allegations linked to the larger conspiracy of the Delhi Riots 2020. The appeal was initially scheduled for a final hearing on August 29, 2024. Since April 29, 2022, this appeal has been awaiting adjudication. It has been listed for a hearing at least 62 times before seven different division benches.","2024-09-04","Crl. Appeal No. 184 of 2022 (Delhi HC); SLP (Crl) 14165/2025 (SC)",""
"32","Umar Khalid v State (NCT of Delhi) - Delhi Riots 2020 'larger conspiracy'","Karkardooma Sessions Court, Delhi; Delhi HC (bail denied 2 Sept 2025); Supreme Court (bail denied 5 Jan 2026)","2020","https://www.scobserver.in/journal/umar-khalid-bail-application-tracker/","Khalid was charged under various provisions of the Indian Penal Code, 1860 for rioting (Sections 147 and 148), unlawful assembly (Section 142), murder (Section 302), sedition (Section 124A). On 5 January 2026, the Supreme Court denied bail to Umar Khalid and Sharjeel Imam in the 2020 Delhi Riots conspiracy case.","2026-01-09","Crl. Appeal 631/2024 (Delhi HC); SLP (Crl) 14165/2025 (SC)","Custody since 13 Sept 2020; over 5 years without trial commencement (charges debated, not framed)."
"33","Gulfisha Fatima v State (NCT of Delhi) - Delhi Riots 2020 'larger conspiracy'","Delhi High Court (bail listed 73 times; reserved 13 Feb 2023; denied 2 Sept 2025); SC appeal pending","2020","https://www.hindutvawatch.org/?p=57493","Gulfisha Fatima's case, listed on May 11, 2022, has seen 73 listings and four bench changes, with judgment reserved on February 13, 2023.","2024-01-01","Delhi HC bail appeal in FIR 59/2020 - lookup needed","Custody since April 2020."
"34","Meeran Haider v State (NCT of Delhi) - Delhi Riots 2020 'larger conspiracy'","Delhi High Court","2020","https://www.hindutvawatch.org/?p=57493","Meeran Haider's plea, listed on May 20, 2022, has faced 76 listings and eight bench changes, with judgment reserved on March 6, 2023.","2024-01-01","Delhi HC bail appeal in FIR 59/2020 - lookup needed","Custody since April 2020."
"35","Hany Babu M T v National Investigation Agency (Bhima Koregaon / Elgar Parishad)","Bombay High Court (bail granted 4 Dec 2025); Special NIA Court Mumbai (trial pending; charges not framed)","2020","https://www.livelaw.in/high-court/bombay-high-court/bhima-koregaon-bombay-high-court-grants-bail-former-du-professor-hany-babu-312170","Babu highlighted the fact that he has spent over 5 years and 2 months in prison without any trial and that the trial in the special court too has been delaying.","2025-12-04","Special NIA Court Mumbai - lookup needed","Arrested 28 July 2020; UAPA case originates from 8 January 2018 FIR."
"36","Surendra Gadling v National Investigation Agency (Bhima Koregaon / Elgar Parishad)","Bombay High Court (bail granted 4 May 2026)","2018","https://neopolitico.com/india/bombay-high-court-grants-bail-to-surendra-gadling-in-bhima-koregaon-case-after-eight-years-continued-detention-likely-due-to-pending-surajgarh-arson-case/","Gadling, who was arrested in June 2018, was the last remaining accused in custody among the original 16 individuals charged under provisions of the Unlawful Activities (Prevention) Act. The court underscored that the trial in the case had not yet commenced, with discharge applications still pending and charges yet to be formally framed.","2026-05-04","Special NIA Court Mumbai - lookup needed","Arrested June 2018; FIR January 2018; eight years pre-trial incarceration."
"37","Mahesh Raut v National Investigation Agency (Bhima Koregaon)","Supreme Court of India (Bombay HC's Sept 2023 bail order stayed; pending SLP)","2018","https://www.outlookindia.com/national/mahesh-raut-gets-bail-after-seven-years-as-bhima-koregaon-case-remains-in-limbo","As of 2025, the trial is yet to begin with over 300 witnesses to testify in the case.","2025-09-16","SC SLP from Bombay HC bail order; Special NIA Court Mumbai - lookup needed","Arrested 6 June 2018; FIR January 2018."
"38","Jyoti Jagtap v National Investigation Agency (Bhima Koregaon / Kabir Kala Manch)","Supreme Court of India (bail SLP pending since 2023; Bombay HC denied 17 Oct 2022)","2020","https://telanganatoday.com/bhima-koregaon-case-sc-adjourns-hearing-of-bail-plea-of-jyoti-jagtap","she is in custody for about three years. Jagtap, 32, a member of Kabir Kala Manch (KKM) - a cultural group alleged to be a front organisation of the banned CPI (Maoist), was arrested by the NIA in September 2020.","2023-09-21","SC SLP from Bombay HC order dated 17.10.2022 - lookup needed","Arrested September 2020; FIR January 2018."
"39","Rona Wilson v National Investigation Agency (Bhima Koregaon)","Bombay High Court (bail granted 8 Jan 2025; released 24 Jan 2025); trial not begun","2018","https://scroll.in/article/1078129/bail-for-bhima-koregaon-accused-highlights-extraordinary-delay-in-trial","Activists Rona Wilson and Sudhir Dhawale walked out of prison on Friday after being under incarceration for six and a half years in the Bhima Koregaon case. The Bombay High Court granted them bail on January 8 on grounds that they had spent a long period in jail without trial or even charges being framed against them.","2025-01-27","Special NIA Court Mumbai - lookup needed","Arrested June 2018."
"40","Sudhir Dhawale v National Investigation Agency (Bhima Koregaon)","Bombay High Court (bail granted 8 Jan 2025); Special NIA Court Mumbai (trial not begun)","2018","https://scroll.in/article/1078129/bail-for-bhima-koregaon-accused-highlights-extraordinary-delay-in-trial","Activists Rona Wilson and Sudhir Dhawale walked out of prison on Friday after being under incarceration for six and a half years in the Bhima Koregaon case. They had spent a long period in jail without trial or even charges being framed against them.","2025-01-27","Special NIA Court Mumbai - lookup needed","Arrested June 2018."
"41","Haji Mehboob v State of UP (Babri Masjid demolition acquittal appeal)","Allahabad High Court, Lucknow Bench","2020","https://www.barandbench.com/news/babri-masjid-allahabad-high-court-appeal-judgment-acquittal-lk-advani","The plea has challenged the 2020 judgment by the Special CBI court which held that there was nothing on record to establish the existence of a conspiracy to demolish the Babri Masjid.","2022-07-22","Allahabad HC Lucknow Bench Crl Appeal 2022","DISPOSED: Appeal dismissed by Allahabad HC on 9 November 2022. Retained for 28-year underlying delay (1992 demolition - 2020 verdict - 2022 dismissal)."
"42","Nisar Ahmed Sayyed Bilal & 5 Others v State of Maharashtra (2008 Malegaon blast victims' appeal)","Bombay High Court","2025","https://www.tribuneindia.com/news/india/2008-malegaon-blast-victims-move-hc-against-acquittal-of-pragya-thakur-6-others/","Six family members of people who died in the 2008 Malegaon bomb blast have moved the Bombay High Court, challenging a special court judgment acquitting the seven accused in the case, including former BJP MP Pragya Singh Thakur and Lt Col Prasad Purohit.","2025-09-09","Bombay HC - lookup needed","Underlying offence 29 Sept 2008; trial concluded 31 July 2025 with acquittal of all 7 accused; ~17-year trial."
"43","State of Maharashtra v Faisal Shaikh and 11 Others (2006 Mumbai train blasts State appeal)","Supreme Court of India","2025","https://ddnews.gov.in/en/supreme-court-stays-bombay-hc-verdict-acquitting-12-accused-in-2006-mumbai-train-blasts-case/","The Supreme Court today stayed the Bombay High Court's order, which acquitted all 12 accused in the 2006 Mumbai train blasts case. The High Court, in its judgment delivered on July 21, had overturned the 2015 convictions of the 12 men by a special MCOCA court. Five of the accused had been sentenced to death and the rest to life imprisonment.","2025-07-24","SC Crl Appeal 2025 - lookup needed","Bench: Justices M.M. Sundresh and N. Kotiswar Singh. Underlying trial 2006-2015 (9 years to conviction); HC reversal 2025; total elapsed 19 years."
"44","State of UP v Ashish Mishra & 12 Others (2021 Lakhimpur Kheri violence)","Sessions Court, Lakhimpur Kheri (trial pending; charges framed 6 Dec 2022); SC monitoring","2022","https://www.tribuneindia.com/news/india/lakhimpur-kheri-violence-case-sc-disappointed-over-non-production-of-witnesses/","no witnesses has been examined in the trial for the last two months. We are disappointed to note that the so-called status report does not assign any reason whatsoever for non-production of witnesses. The prosecution had initially proposed to examine 208 witnesses but now intends to examine only around 120 witnesses.","2026-05-08","Sessions Court, Lakhimpur Kheri (UP) - lookup needed","Underlying offence 3 October 2021; chargesheet 2022; charges framed 6 December 2022."
"45","Manish Sisodia v Directorate of Enforcement / CBI (Delhi liquor policy)","Special PMLA / CBI Court, Rouse Avenue, Delhi","2023","https://www.scobserver.in/journal/manish-sisodia-deprived-of-his-right-to-speedy-trial-the-supreme-court-holds-grants-bail/","on account of a long period of incarceration running for around 17 months and the trial even not having been commenced, the appellant has been deprived of his right to speedy trial. The commencement of the trial is yet to see the light of the day.","2024-08-09","Rouse Avenue Court, Delhi - lookup needed","Arrest 26 Feb 2023; CBI FIR Aug 2022. 493 witnesses, 69,000 pages of documents per submissions. Sisodia on bail; trial-court matter remains pending."
"46","Dashrath Ram Ganju v Shivpriyanath Ganju (partition suit)","Patna High Court","1955","https://indialegallive.com/magazine/justice-on-hold-the-cases-that-outlived-generations/","Listed in India Legal's 'Justice on Hold' feature on India's longest-pending cases as a 70-year-old Patna High Court partition matter.","2025-03-22","Patna HC - lookup needed","Filing year approximate; article reports 70-year pendency."
"47","Bishop's Education Society three-acre property dispute, Pune","Bombay High Court","1950","https://mypunepulse.com/76-year-old-pune-property-dispute-still-pending-in-bombay-high-court/","76-year-old Pune property dispute still pending in Bombay High Court. The case has been before various courts since 1950.","2026-03-17","Bombay HC - case number lookup needed",""
"48","[Madras High Court oldest pending civil suit, 1952] - cause title not given","Madras High Court","1952","https://www.businesstoday.in/latest/story/indias-oldest-pending-case-finally-settles-after-72-years-360484-2023-01-16","Calcutta High Court still has two of the country's next five oldest pending cases to deal with. These were filed in 1952. Of the remaining three cases, two are civil suits being heard in civil courts in West Bengal's Malda and one is pending in the Madras High Court.","2023-01-16","Madras HC - registry lookup needed","Specific cause-title not given in article."
"49","[Malda district civil suit no. 1, 1952] - cause title not given","District / Civil Court, Malda, West Bengal","1952","https://www.businesstoday.in/latest/story/indias-oldest-pending-case-finally-settles-after-72-years-360484-2023-01-16","two are civil suits being heard in civil courts in West Bengal's Malda. The Malda Courts have reportedly lined up hearings in March and November this year.","2023-01-16","Malda District Court eCourts portal - lookup needed","Specific cause-title not given in article."
"50","[Malda district civil suit no. 2, 1952] - cause title not given","District / Civil Court, Malda, West Bengal","1952","https://www.businesstoday.in/latest/story/indias-oldest-pending-case-finally-settles-after-72-years-360484-2023-01-16","two are civil suits being heard in civil courts in West Bengal's Malda.","2023-01-16","Malda District Court eCourts portal - lookup needed","Specific cause-title not given in article."
"51","[Calcutta High Court oldest pending cases, two from 1952] - cause titles not given","Calcutta High Court","1952","https://www.businesstoday.in/latest/story/indias-oldest-pending-case-finally-settles-after-72-years-360484-2023-01-16","Calcutta High Court still has two of the country's next five oldest pending cases to deal with. These were filed in 1952.","2023-01-16","Calcutta HC - registry lookup needed","Two separate cases. As of August 2025, India Justice Report records Calcutta HC has 2,185 cases pending more than 50 years."
"52","State v [accused] - Shaheen Malik 2009 acid-attack trial","Rohini Court, Delhi","2009","https://www.csmonitor.com/World/Asia-South-Central/2026/0318/India-court-backlog-delayed-justice","While Ms. Malik fought for other acid attack survivors, her own case crawled along. Her evidence was recorded in 2015, cross-examination finished in 2019, and final arguments concluded in 2024. On Dec. 24, 2025, the court finally reached a decision: All three of the accused were acquitted.","2026-03-18","Rohini Court, Delhi (complainant: Shaheen Malik, 2009 incident) - lookup needed","Verdict 24 Dec 2025: all 3 acquitted; complainant pursuing appeal. Underlying delay illustrates 16-year trial."
